Police force name,Police force code,Month,Year,"Total Calls
Unrounded","Average answer time
in seconds, unrounded, to 1dp","Median answer time
in seconds, unrounded","Calls answered in under 10 seconds
unrounded","% Calls answered in under 10 seconds
unrounded, to 1dp","Calls answered in 10 to (under) 60 seconds
unrounded","% Calls answered in 10 to (under) 60 seconds
unrounded, to 1dp","Calls answered at 60 seconds or longer
unrounded","% Calls answered at 60 seconds or longer
unrounded, to 1dp"
Lincolnshire Police,Lincolnshire,11,2022,8565,8.7,3,7291,85.1,1028,12,246,2.9
Merseyside Police,Merseyside,11,2022,22794,18.8,5,15557,68.3,5193,22.8,2044,9
Metropolitan Police Service,Metropolitan,11,2022,178325,23.6,7,120939,67.8,39037,21.9,18349,10.3
Norfolk Constabulary,Norfolk,11,2022,9916,12,5,7274,73.4,2346,23.7,296,3
North Wales Police,North-Wales,11,2022,7795,6.7,4,6591,84.6,1173,15,31,0.4
North Yorkshire Police,North-Yorkshire,11,2022,8409,17.1,8,5357,63.7,2619,31.1,433,5.1
Northamptonshire Police,Northamptonshire,11,2022,10483,8.3,4,8580,81.8,1806,17.2,97,0.9
Northumbria Police,Northumbria,11,2022,23529,16.8,9,15601,66.3,6608,28.1,1320,5.6
Nottinghamshire Police,Nottinghamshire,11,2022,15930,8.7,6,13931,87.5,1796,11.3,203,1.3
Police Scotland,Scotland,11,2022,56639,12.2,6,43875,77.5,10739,19,2025,3.6
Police Service of Northern Ireland,Northern-Ireland,11,2022,16279,8.6,7,12866,79,3311,20.3,102,0.6
South Wales Police,South-Wales,11,2022,18309,13.6,4,14180,77.4,2976,16.3,1153,6.3
South Yorkshire Police,South-Yorkshire,11,2022,22356,9.2,5,18614,83.3,3324,14.9,418,1.9
Staffordshire Police,Staffordshire,11,2022,16286,15.4,5,13358,82,1921,11.8,1007,6.2
Suffolk Constabulary,Suffolk,11,2022,9172,20.4,5,7284,79.4,1099,12,789,8.6
Surrey Police,Surrey,11,2022,13281,10.5,7,10157,76.5,2910,21.9,214,1.6
Sussex Police,Sussex,11,2022,22556,14.8,8,15978,70.8,5685,25.2,893,4
Thames Valley Police,Thames-Valley,11,2022,28782,10.8,6,23772,82.6,4353,15.1,657,2.3
Warwickshire Police,Warwickshire,11,2022,7616,11.9,8,5777,75.9,1725,22.6,114,1.5
West Mercia Police,West-Mercia,11,2022,13819,11.9,8,10608,76.8,2920,21.1,291,2.1
West Midlands police,West-Midlands,11,2022,60849,25.4,6,41609,68.4,11432,18.8,7808,12.8
West Yorkshire Police,West-Yorkshire,11,2022,39177,10.6,4,32862,83.9,5215,13.3,1100,2.8
Wiltshire Police,Wiltshire,11,2022,7364,13.3,8,5381,73.1,1753,23.8,230,3.1
Avon and Somerset Constabulary,Avon-and-Somerset,12,2022,25333,8.8,4,21957,86.7,2759,10.9,617,2.4
Bedfordshire Police,Bedfordshire,12,2022,9796,41.6,5,6111,62.3,1639,16.7,2046,20.8
Cambridgeshire Constabulary,Cambridgeshire,12,2022,12072,10.8,4,9999,82.8,1673,13.9,400,3.3
Cheshire Constabulary,Cheshire,12,2022,12623,10.9,5,10648,84.4,1557,12.3,418,3.3
Cleveland Police,Cleveland,12,2022,8791,6.1,4,7835,89.1,909,10.3,47,0.5
Cumbria Constabulary,Cumbria,12,2022,5683,8.1,6,5023,88.4,622,10.9,38,0.7
Derbyshire Constabulary,Derbyshire,12,2022,13779,9.2,7,9210,66.8,4522,32.8,47,0.3
Devon & Cornwall Police,Devon-and-Cornwall,12,2022,21490,20.5,7,15319,71.3,4538,21.1,1633,7.6
Dorset Police,Dorset,12,2022,9891,12.2,8,7010,70.9,2654,26.8,227,2.3
Durham Constabulary,Durham,12,2022,7795,18.4,8,5657,72.6,1598,20.5,540,6.9
Dyfed-Powys Police,Dyfed-Powys,12,2022,4877,9.1,4,3995,81.9,769,15.8,113,2.3
Essex Police,Essex,12,2022,26222,11.9,6,21112,80.5,4200,16,910,3.5
Gloucestershire Constabulary,Gloucestershire,12,2022,7468,16.6,7,5123,68.6,1927,25.8,418,5.6
Greater Manchester Police,Greater-Manchester,12,2022,46639,9.1,4,40697,87.3,4605,9.9,1337,2.9
Gwent Police,Gwent,12,2022,7750,15.1,6,5872,75.8,1426,18.4,452,5.8
Hampshire Constabulary,Hampshire,12,2022,22765,18.1,8,14637,64.3,6625,29.1,1503,6.6
Hertfordshire Constabulary,Hertfordshire,12,2022,15107,10.5,5,11982,79.3,2776,18.4,349,2.3
Humberside Police,Humberside,12,2022,11822,7.6,4,10370,87.7,1306,11,146,1.2
Kent Police,Kent,12,2022,25221,15.8,5,18938,75.1,4556,18.1,1727,6.8
Lancashire Constabulary,Lancashire,12,2022,22630,11.3,8,17691,78.2,4569,20.2,370,1.6
Leicestershire Police,Leicestershire,12,2022,15361,10.9,4,13349,86.9,1448,9.4,564,3.7
Lincolnshire Police,Lincolnshire,12,2022,8670,8,3,7451,85.9,1022,11.8,197,2.3
Merseyside Police,Merseyside,12,2022,22591,14.8,5,17207,76.2,4025,17.8,1359,6
Metropolitan Police Service,Metropolitan,12,2022,172558,22.6,7,124180,72,32591,18.9,15787,9.1
Norfolk Constabulary,Norfolk,12,2022,9661,8.8,5,7864,81.4,1675,17.3,122,1.3
North Wales Police,North-Wales,12,2022,8314,7.4,4,6683,80.4,1577,19,54,0.6
North Yorkshire Police,North-Yorkshire,12,2022,8654,17.8,8,5599,64.7,2562,29.6,493,5.7
Northamptonshire Police,Northamptonshire,12,2022,10673,7.1,4,9171,85.9,1448,13.6,54,0.5
Northumbria Police,Northumbria,12,2022,21846,12.3,9,15499,70.9,5830,26.7,517,2.4
Nottinghamshire Police,Nottinghamshire,12,2022,16360,8.4,6,14398,88,1759,10.7,203,1.2
Police Scotland,Scotland,12,2022,59944,10.2,6,50273,83.9,8149,13.6,1522,2.5
Police Service of Northern Ireland,Northern-Ireland,12,2022,17500,8.4,7,13867,79.2,3555,20.3,78,0.4
South Wales Police,South-Wales,12,2022,18932,12.4,4,14660,77.4,3296,17.4,976,5.2
South Yorkshire Police,South-Yorkshire,12,2022,21331,8.4,5,18260,85.6,2756,12.9,315,1.5
Staffordshire Police,Staffordshire,12,2022,16809,13.4,5,14479,86.1,1542,9.2,788,4.7
Suffolk Constabulary,Suffolk,12,2022,9210,21.2,5,7199,78.2,1204,13.1,807,8.8
Surrey Police,Surrey,12,2022,12909,11.5,7,9632,74.6,2980,23.1,297,2.3
Sussex Police,Sussex,12,2022,22927,13.1,8,17083,74.5,5206,22.7,638,2.8
Thames Valley Police,Thames-Valley,12,2022,30266,10.7,6,25071,82.8,4485,14.8,710,2.3
Warwickshire Police,Warwickshire,12,2022,7757,11.3,8,6062,78.1,1610,20.8,85,1.1
West Mercia Police,West-Mercia,12,2022,13776,12.1,8,10822,78.5,2663,19.3,291,2.1
West Midlands police,West-Midlands,12,2022,61154,19.3,6,45322,74.1,10263,16.8,5569,9.1
West Yorkshire Police,West-Yorkshire,12,2022,37917,7.4,4,33717,88.9,3668,9.7,532,1.4
Wiltshire Police,Wiltshire,12,2022,7343,12,8,5526,75.3,1645,22.4,172,2.3
Avon and Somerset Constabulary,Avon-and-Somerset,1,2023,24490,7.89,4,21659,88.4,2356,9.6,475,1.9
Bedfordshire Police,Bedfordshire,1,2023,9585,27.07,4,6847,71.4,1439,15,1299,13.6
Cambridgeshire Constabulary,Cambridgeshire,1,2023,11317,8.63,4,9691,85.6,1386,12.2,240,2.1
Cheshire Constabulary,Cheshire,1,2023,12210,8.79,5,10738,87.9,1264,10.4,208,1.7
Cleveland Police,Cleveland,1,2023,8767,6.74,4,7642,87.2,1048,12,77,0.9
Cumbria Constabulary,Cumbria,1,2023,5305,7.96,6,4671,88,616,11.6,18,0.3
Derbyshire Constabulary,Derbyshire,1,2023,13779,8.75,7,9709,70.5,4040,29.3,30,0.2
Devon & Cornwall Police,Devon-and-Cornwall,1,2023,22135,13.94,7,17495,79,3754,17,886,4
Dorset Police,Dorset,1,2023,10173,10.87,8,7946,78.1,2055,20.2,172,1.7
Durham Constabulary,Durham,1,2023,7624,15.81,8,5579,73.2,1619,21.2,426,5.6
Dyfed-Powys Police,Dyfed-Powys,1,2023,4710,8.23,4,3962,84.1,667,14.2,81,1.7
Essex Police,Essex,1,2023,26029,11.08,6,21588,82.9,3659,14.1,782,3
Gloucestershire Constabulary,Gloucestershire,1,2023,7248,13.09,7,5435,75,1568,21.6,245,3.4
Greater Manchester Police,Greater-Manchester,1,2023,45732,8.23,4,40712,89,3940,8.6,1080,2.4
Gwent Police,Gwent,1,2023,7337,11.64,5,5952,81.1,1099,15,286,3.9
Hampshire Constabulary,Hampshire,1,2023,23269,11.41,7,18924,81.3,3786,16.3,559,2.4
Hertfordshire Constabulary,Hertfordshire,1,2023,14528,10.14,4,11614,79.9,2589,17.8,325,2.2
Humberside Police,Humberside,1,2023,12153,7.08,4,10861,89.4,1170,9.6,122,1
Kent Police,Kent,1,2023,24315,12.32,5,19478,80.1,3687,15.2,1150,4.7
Lancashire Constabulary,Lancashire,1,2023,22426,10.68,7,18444,82.2,3644,16.2,338,1.5
Leicestershire Police,Leicestershire,1,2023,15504,9.7,4,13810,89.1,1140,7.4,554,3.6
Lincolnshire Police,Lincolnshire,1,2023,8155,7.1,3,7230,88.7,787,9.7,138,1.7
Merseyside Police,Merseyside,1,2023,22056,11.52,4,17418,79,3776,17.1,862,3.9
Metropolitan Police Service,Metropolitan,1,2023,177249,18.9,6,128687,72.6,34828,19.6,13734,7.7
Norfolk Constabulary,Norfolk,1,2023,9933,7.45,5,8473,85.3,1398,14.1,62,0.6
North Wales Police,North-Wales,1,2023,8225,8.19,4,6506,79.1,1636,19.9,83,1
North Yorkshire Police,North-Yorkshire,1,2023,8213,16.01,8,5516,67.2,2314,28.2,383,4.7
Northamptonshire Police,Northamptonshire,1,2023,11108,7.18,4,9383,84.5,1659,14.9,66,0.6
Northumbria Police,Northumbria,1,2023,21937,12.92,8,15953,72.72,5334,24.32,650,2.96
Nottinghamshire Police,Nottinghamshire,1,2023,16489,8.35,5,14619,88.7,1650,10,220,1.3
Police Scotland,Scotland,1,2023,57783,8.93,5,49703,86,7096,12.3,984,1.7
Police Service of Northern Ireland,Northern-Ireland,1,2023,17084,8.66,7,13897,81.3,3032,17.7,155,0.9
South Wales Police,South-Wales,1,2023,18764,10.56,4,15174,80.9,2844,15.2,746,4
South Yorkshire Police,South-Yorkshire,1,2023,21960,9.25,8,18267,83.18,3266,14.87,427,1.94
Staffordshire Police,Staffordshire,1,2023,17195,12.12,5,14682,85.4,1766,10.3,747,4.3
Suffolk Constabulary,Suffolk,1,2023,9198,16.83,5,7531,81.9,1061,11.5,606,6.6
Surrey Police,Surrey,1,2023,12658,9.77,6,10034,79.3,2467,19.5,157,1.2
Sussex Police,Sussex,1,2023,21524,10.65,8,17398,80.8,3826,17.8,300,1.4
Thames Valley Police,Thames-Valley,1,2023,29162,10.01,6,24766,84.9,3850,13.2,546,1.9
Warwickshire Police,Warwickshire,1,2023,7792,14.54,7,5965,76.6,1708,21.9,119,1.5
West Mercia Police,West-Mercia,1,2023,13615,10.87,8,11051,81.2,2361,17.3,203,1.5
West Midlands police,West-Midlands,1,2023,63457,15.21,6,51524,81.2,8015,12.6,3918,6.2
West Yorkshire Police,West-Yorkshire,1,2023,37961,6.42,4,33876,89.2,3794,10,291,0.8
Wiltshire Police,Wiltshire,1,2023,7431,13.37,7,5545,74.6,1639,22.1,247,3.3
Avon and Somerset Constabulary,Avon-and-Somerset,2,2023,23402,7.6,4,20748,88.7,2260,9.7,394,1.7
Bedfordshire Police,Bedfordshire,2,2023,9320,45.82,5,5278,56.6,1751,18.8,2291,24.6
Cambridgeshire Constabulary,Cambridgeshire,2,2023,10770,11.69,4,8663,80.4,1672,15.5,435,4
Cheshire Constabulary,Cheshire,2,2023,11226,9.6,5,9728,86.7,1230,11,268,2.4
Cleveland Police,Cleveland,2,2023,8590,6.61,4,7405,86.2,1134,13.2,51,0.6
Cumbria Constabulary,Cumbria,2,2023,4971,8.07,6,4351,87.5,592,11.9,28,0.6
Derbyshire Constabulary,Derbyshire,2,2023,13286,7.7,6,10279,77.4,2991,22.5,16,0.1
Devon & Cornwall Police,Devon-and-Cornwall,2,2023,21340,15.06,7,16788,78.7,3568,16.7,984,4.6
Dorset Police,Dorset,2,2023,10162,11.18,8,7565,74.4,2411,23.7,186,1.8
Durham Constabulary,Durham,2,2023,7643,18.73,8,5193,67.9,1829,23.9,621,8.1
Dyfed-Powys Police,Dyfed-Powys,2,2023,4438,8.02,4,3702,83.4,666,15,70,1.6
Essex Police,Essex,2,2023,22853,11.79,6,18370,80.4,3733,16.3,750,3.3
Gloucestershire Constabulary,Gloucestershire,2,2023,6835,17.66,7,4444,65,1997,29.2,394,5.8
Greater Manchester Police,Greater-Manchester,2,2023,43292,7.56,4,38751,89.5,3715,8.6,826,1.9
Gwent Police,Gwent,2,2023,7068,14.86,5,5434,76.9,1202,17,432,6.1
Hampshire Constabulary,Hampshire,2,2023,21316,13.48,6,17520,82.2,2906,13.6,890,4.2
Hertfordshire Constabulary,Hertfordshire,2,2023,13237,9.96,4,10508,79.4,2483,18.8,246,1.9
Humberside Police,Humberside,2,2023,12046,10.41,5,9631,79.95,2139,17.76,276,2.29
Kent Police,Kent,2,2023,22771,14.97,5,17370,76.3,3894,17.1,1507,6.6
Lancashire Constabulary,Lancashire,2,2023,21794,10.85,7,17494,80.3,4022,18.5,278,1.3
Leicestershire Police,Leicestershire,2,2023,15860,13.66,4,13332,84.1,1565,9.9,963,6.1
Lincolnshire Police,Lincolnshire,2,2023,7642,7.03,3,6752,88.4,752,9.8,138,1.8
Merseyside Police,Merseyside,2,2023,20691,15.13,5,14925,72.1,4485,21.7,1281,6.2
Metropolitan Police Service,Metropolitan,2,2023,164072,20.3,7,116538,71,33360,20.3,14174,8.6
Norfolk Constabulary,Norfolk,2,2023,9060,7.29,5,7845,86.6,1164,12.8,51,0.6
North Wales Police,North-Wales,2,2023,7961,7.35,4,6468,81.2,1440,18.1,53,0.7
North Yorkshire Police,North-Yorkshire,2,2023,7953,16.79,8,5118,64.4,2455,30.9,380,4.8
Northamptonshire Police,Northamptonshire,2,2023,10707,7.47,4,8973,83.8,1662,15.5,72,0.7
Northumbria Police,Northumbria,2,2023,21858,14.31,8,15607,71.4,5374,24.6,877,4
Nottinghamshire Police,Nottinghamshire,2,2023,15673,8.86,6,13731,87.6,1720,11,222,1.4
Police Scotland,Scotland,2,2023,57597,11.2,5,46220,80.2,9708,16.9,1669,2.9
Police Service of Northern Ireland,Northern-Ireland,2,2023,16124,8.58,6,13017,80.7,2950,18.3,157,1
South Wales Police,South-Wales,2,2023,17540,11,4,14196,80.9,2589,14.8,755,4.3
South Yorkshire Police,South-Yorkshire,2,2023,20865,9.69,5,17267,82.8,3104,14.9,494,2.4
Staffordshire Police,Staffordshire,2,2023,17163,15.73,5,14089,82.1,1891,11,1183,6.9
Suffolk Constabulary,Suffolk,2,2023,8758,20.91,5,6831,78,1157,13.2,770,8.8
Surrey Police,Surrey,2,2023,12015,15.71,7,8356,69.5,3118,26,541,4.5
Sussex Police,Sussex,2,2023,20520,12.43,8,15892,77.4,4127,20.1,501,2.4
Thames Valley Police,Thames-Valley,2,2023,26965,10.49,6,22526,83.5,3870,14.4,569,2.1
Warwickshire Police,Warwickshire,2,2023,7236,11.19,8,5557,76.8,1619,22.4,60,0.8
West Mercia Police,West-Mercia,2,2023,12488,11.6,8,10126,81.1,2087,16.7,275,2.2
West Midlands police,West-Midlands,2,2023,60289,13.11,6,49928,82.8,7289,12.1,3072,5.1
West Yorkshire Police,West-Yorkshire,2,2023,36998,7.7,4,31726,85.8,4818,13,454,1.2
Wiltshire Police,Wiltshire,2,2023,7016,15.46,7,5009,71.4,1675,23.9,332,4.7
Avon and Somerset Constabulary,Avon-and-Somerset,3,2023,26637,8.64,4,23149,86.9,2828,10.6,660,2.5
Bedfordshire Police,Bedfordshire,3,2023,10680,50.56,5,5970,55.9,1844,17.3,2866,26.8
Cambridgeshire Constabulary,Cambridgeshire,3,2023,12311,11.99,4,9969,81,1792,14.6,550,4.5
Cheshire Constabulary,Cheshire,3,2023,12404,9.69,5,10654,85.9,1480,11.9,270,2.2
Cleveland Police,Cleveland,3,2023,9929,6.91,4,8433,84.9,1422,14.3,74,0.7
Cumbria Constabulary,Cumbria,3,2023,5780,8,6,5063,87.6,700,12.1,17,0.3
Derbyshire Constabulary,Derbyshire,3,2023,15212,7.54,6,12077,79.4,3108,20.4,27,0.2
Devon & Cornwall Police,Devon-and-Cornwall,3,2023,23631,14.67,7,18402,77.9,4154,17.6,1075,4.5
Dorset Police,Dorset,3,2023,10740,11.03,8,8356,77.8,2169,20.2,215,2
Durham Constabulary,Durham,3,2023,8233,18.84,8,5454,66.2,2136,25.9,643,7.8
Dyfed-Powys Police,Dyfed-Powys,3,2023,4830,7.6,4,4048,83.8,724,15,58,1.2
Essex Police,Essex,3,2023,26003,14.26,6,19842,76.3,4816,18.5,1345,5.2
Gloucestershire Constabulary,Gloucestershire,3,2023,7716,16.31,6,5296,68.6,1964,25.5,456,5.9
Greater Manchester Police,Greater-Manchester,3,2023,49052,10.46,4,40472,82.5,6914,14.1,1666,3.4
Gwent Police,Gwent,3,2023,7580,14.5,6,5840,77,1325,17.5,415,5.5
Hampshire Constabulary,Hampshire,3,2023,25168,13.66,7,19504,77.5,4732,18.8,932,3.7
Hertfordshire Constabulary,Hertfordshire,3,2023,15122,10.22,5,11895,78.7,2967,19.6,260,1.7
Humberside Police,Humberside,3,2023,12941,9.72,5,10441,80.7,2261,17.5,239,1.8
Kent Police,Kent,3,2023,25948,14.61,5,19307,74.4,5076,19.6,1565,6
Lancashire Constabulary,Lancashire,3,2023,25069,12.06,8,19278,76.9,5281,21.1,510,2
Leicestershire Police,Leicestershire,3,2023,17105,12.42,4,14573,85.2,1613,9.4,919,5.4
Lincolnshire Police,Lincolnshire,3,2023,9002,8.05,3,7737,85.9,1072,11.9,193,2.1
Merseyside Police,Merseyside,3,2023,23362,13.49,4,17613,75.4,4541,19.4,1208,5.2
Metropolitan Police Service,Metropolitan,3,2023,184914,22.52,7,125805,68,41332,22.4,17777,9.6
Norfolk Constabulary,Norfolk,3,2023,10356,7.57,5,8914,86.1,1368,13.2,74,0.7
North Wales Police,North-Wales,3,2023,9004,7.9,4,7275,80.8,1632,18.1,97,1.1
North Yorkshire Police,North-Yorkshire,3,2023,8642,16.08,8,5556,64.3,2735,31.6,351,4.1
Northamptonshire Police,Northamptonshire,3,2023,12041,7.57,4,10073,83.7,1852,15.4,116,1
Northumbria Police,Northumbria,3,2023,23367,14.2,8,16788,71.8,5651,24.2,928,4
Nottinghamshire Police,Nottinghamshire,3,2023,17458,8.75,6,15310,87.7,1890,10.8,258,1.5
Police Scotland,Scotland,3,2023,61513,11.54,6,48086,78.2,11530,18.7,1897,3.1
Police Service of Northern Ireland,Northern-Ireland,3,2023,18549,9.1,6,14786,79.7,3529,19,234,1.3
South Wales Police,South-Wales,3,2023,19473,10.48,4,15974,82,2683,13.8,816,4.2
South Yorkshire Police,South-Yorkshire,3,2023,22986,9.78,5,18725,81.5,3718,16.2,543,2.4
Staffordshire Police,Staffordshire,3,2023,18730,16.05,5,15223,81.3,2209,11.8,1298,6.9
Suffolk Constabulary,Suffolk,3,2023,9798,26.02,5,7479,76.3,1282,13.1,1037,10.6
Surrey Police,Surrey,3,2023,13273,42.16,7,7756,58.4,2929,22.1,2588,19.5
Sussex Police,Sussex,3,2023,23122,12.19,8,17986,77.8,4587,19.8,549,2.4
Thames Valley Police,Thames-Valley,3,2023,30990,11.49,6,25117,81,5034,16.2,839,2.7
Warwickshire Police,Warwickshire,3,2023,8567,12.91,8,6459,75.4,1922,22.4,186,2.2
West Mercia Police,West-Mercia,3,2023,14530,11.9,8,11275,77.6,2931,20.2,324,2.2
West Midlands police,West-Midlands,3,2023,67186,14.47,6,53086,79,10157,15.1,3943,5.9
West Yorkshire Police,West-Yorkshire,3,2023,40807,7.84,4,34485,84.5,5839,14.3,483,1.2
Wiltshire Police,Wiltshire,3,2023,7851,19.32,8,5307,67.6,1923,24.5,621,7.9
Avon and Somerset Constabulary,Avon-and-Somerset,4,2023,26812,8.71,4,22958,85.6,3262,12.2,592,2.2
Bedfordshire Police,Bedfordshire,4,2023,10779,52.05,5,6009,55.7,1873,17.4,2897,26.9
Cambridgeshire Constabulary,Cambridgeshire,4,2023,12372,15.21,4,9673,78.2,1923,15.5,776,6.3
Cheshire Constabulary,Cheshire,4,2023,13208,8.61,6,11573,87.6,1462,11.1,173,1.3
Cleveland Police,Cleveland,4,2023,9991,7.34,4,8343,83.5,1573,15.7,75,0.8
Cumbria Constabulary,Cumbria,4,2023,6352,8.1,6,5552,87.4,775,12.2,25,0.4
Derbyshire Constabulary,Derbyshire,4,2023,14837,7.95,7,11324,76.3,3488,23.5,25,0.2
Devon & Cornwall Police,Devon-and-Cornwall,4,2023,24966,15.59,7,19292,77.3,4336,17.4,1338,5.4
Dorset Police,Dorset,4,2023,10933,11.69,8,8286,75.8,2398,21.9,249,2.3
Durham Constabulary,Durham,4,2023,8697,16,8,6268,72.1,1914,22,515,5.9
Dyfed-Powys Police,Dyfed-Powys,4,2023,5481,8.49,4,4420,80.6,970,17.7,91,1.7
Essex Police,Essex,4,2023,26731,13.23,6,21014,78.6,4525,16.9,1192,4.5
Gloucestershire Constabulary,Gloucestershire,4,2023,7609,13.33,6,5570,73.2,1739,22.9,300,3.9
Greater Manchester Police,Greater-Manchester,4,2023,48913,7.14,4,43483,88.9,4735,9.7,695,1.4
Gwent Police,Gwent,4,2023,8234,11.86,6,6701,81.4,1201,14.6,332,4
Hampshire Constabulary,Hampshire,4,2023,25917,15.33,7,19701,76,4962,19.1,1254,4.8
Hertfordshire Constabulary,Hertfordshire,4,2023,15159,9.51,5,12299,81.1,2612,17.2,248,1.6
Humberside Police,Humberside,4,2023,13848,10.14,4,11133,80.4,2398,17.3,317,2.3
Kent Police,Kent,4,2023,25687,13.05,5,19752,76.9,4731,18.4,1204,4.7
Lancashire Constabulary,Lancashire,4,2023,27162,10.6,7,21860,80.5,5000,18.4,302,1.1
Leicestershire Police,Leicestershire,4,2023,16602,13.53,4,14209,85.6,1431,8.6,962,5.8
Lincolnshire Police,Lincolnshire,4,2023,9546,6.99,3,8413,88.1,965,10.1,168,1.8
Merseyside Police,Merseyside,4,2023,24240,12.22,4,18656,77,4560,18.8,1024,4.2
Metropolitan Police Service,Metropolitan,4,2023,184127,26.22,7,121510,66,40999,22.3,21618,11.7
Norfolk Constabulary,Norfolk,4,2023,11057,7.39,5,9567,86.5,1419,12.8,71,0.6
North Wales Police,North-Wales,4,2023,9933,8.18,4,7805,78.6,2036,20.5,92,0.9
North Yorkshire Police,North-Yorkshire,4,2023,9137,13.78,7,6727,73.6,2159,23.6,251,2.7
Northamptonshire Police,Northamptonshire,4,2023,11603,9.81,5,8628,74.4,2804,24.2,171,1.5
Northumbria Police,Northumbria,4,2023,25024,13.51,8,18464,73.8,5675,22.7,885,3.5
Nottinghamshire Police,Nottinghamshire,4,2023,17660,8.25,6,15585,88.3,1886,10.7,189,1.1
Police Scotland,Scotland,4,2023,65332,11.73,6,49730,76.1,13790,21.1,1812,2.8
Police Service of Northern Ireland,Northern-Ireland,4,2023,19343,8.7,7,15532,80.3,3658,18.9,153,0.8
South Wales Police,South-Wales,4,2023,20615,11.23,4,16387,79.5,3352,16.3,876,4.2
South Yorkshire Police,South-Yorkshire,4,2023,22751,8.42,5,19538,85.9,2870,12.6,343,1.5
Staffordshire Police,Staffordshire,4,2023,19795,14.47,5,16329,82.5,2222,11.2,1244,6.3
Suffolk Constabulary,Suffolk,4,2023,9780,18.13,5,7972,81.5,1100,11.2,708,7.2
Surrey Police,Surrey,4,2023,13523,20.58,7,9924,73.4,2500,18.5,1099,8.1
Sussex Police,Sussex,4,2023,24743,12.26,8,19162,77.4,5035,20.3,546,2.2
Thames Valley Police,Thames-Valley,4,2023,31893,11.18,6,26359,82.6,4704,14.7,830,2.6
Warwickshire Police,Warwickshire,4,2023,8415,13.01,8,6454,76.7,1729,20.5,232,2.8
West Mercia Police,West-Mercia,4,2023,14999,13.68,8,11299,75.3,3211,21.4,489,3.3
West Midlands police,West-Midlands,4,2023,65867,9.84,5,56425,85.7,7751,11.8,1691,2.6
West Yorkshire Police,West-Yorkshire,4,2023,42100,8.49,4,34607,82.2,6894,16.4,599,1.4
Wiltshire Police,Wiltshire,4,2023,8076,19.53,8,5459,67.6,1999,24.8,618,7.7
Avon and Somerset Constabulary,Avon-and-Somerset,5,2023,31579,12.27,4,25501,80.8,4628,14.7,1450,4.6
Bedfordshire Police,Bedfordshire,5,2023,12089,47.24,5,6942,57.4,2102,17.4,3045,25.2
Cambridgeshire Constabulary,Cambridgeshire,5,2023,14036,19.53,4,10526,75,2190,15.6,1320,9.4
Cheshire Constabulary,Cheshire,5,2023,14905,9.9,6,12461,83.6,2173,14.6,271,1.8
Cleveland Police,Cleveland,5,2023,10844,8.23,4,8654,79.8,2059,19,131,1.2
Cumbria Constabulary,Cumbria,5,2023,7406,8.68,6,6369,86,989,13.4,48,0.6
Derbyshire Constabulary,Derbyshire,5,2023,17593,8.55,7,12259,69.7,5306,30.2,28,0.2
Devon & Cornwall Police,Devon-and-Cornwall,5,2023,29332,17.6,7,22263,75.9,5078,17.3,1991,6.8
Dorset Police,Dorset,5,2023,13211,13.68,8,9694,73.4,3036,23,481,3.6
Durham Constabulary,Durham,5,2023,10015,17.97,8,6854,68.4,2414,24.1,747,7.5
Dyfed-Powys Police,Dyfed-Powys,5,2023,6226,9.85,4,4954,79.6,1119,18,153,2.5
Essex Police,Essex,5,2023,30746,13.54,6,24388,79.3,4939,16.1,1419,4.6
Gloucestershire Constabulary,Gloucestershire,5,2023,9590,16.21,6,6961,72.6,2021,21.1,608,6.3
Greater Manchester Police,Greater-Manchester,5,2023,54987,7.45,4,48580,88.3,5623,10.2,784,1.4
Gwent Police,Gwent,5,2023,9401,12.03,5,7549,80.3,1452,15.4,400,4.3
Hampshire Constabulary,Hampshire,5,2023,29531,18.31,8,21283,72.1,6166,20.9,2082,7.1
Hertfordshire Constabulary,Hertfordshire,5,2023,17235,10.21,5,13760,79.8,3087,17.9,388,2.3
Humberside Police,Humberside,5,2023,15803,10.64,4,12597,79.7,2753,17.4,453,2.9
Kent Police,Kent,5,2023,29528,13.83,5,21584,73.1,6507,22,1437,4.9
Lancashire Constabulary,Lancashire,5,2023,31325,12.19,7,24113,77,6499,20.7,713,2.3
Leicestershire Police,Leicestershire,5,2023,19438,15.81,4,15925,81.9,2047,10.5,1478,7.6
Lincolnshire Police,Lincolnshire,5,2023,10926,7.67,3,9359,85.7,1358,12.4,209,1.9
Merseyside Police,Merseyside,5,2023,26931,10.76,4,21513,79.9,4489,16.7,929,3.4
Metropolitan Police Service,Metropolitan,5,2023,208941,20.83,7,144068,69,46224,22.1,18649,8.9
Norfolk Constabulary,Norfolk,5,2023,11999,6.86,4,10477,87.3,1482,12.4,40,0.3
